Super bowl,Winning Team,Offensive Rank,Defensive Rank,Losing Team,Offensive Rank,Defnesive Rank
50,Denver,25,1,Carolina,8,2
49,New England,6,12,Seattle,5,1
48,Seattle,7,1,Denver,1,15
47,Baltimore,13,19,San Francisco,5,3
46,New York Giants,7,16,New England,3,30
45,Green Bay,7,2,Pittsburgh,5,1
44,New Oreleans,2,17,Indianapolis,6,16
43,Pittsburgh,21,1,Arizona,15,21
42,New York Giants,18,13,New England,1,11
41,Indianapolis,1,25,Chicago,20,2
40,Pittsburgh,8,3,Seattle,1,16
39,New England,3,7,Philadelphia,9,16
38,New England,14,2,Carolina,18,10
37,Tampa Bay,20,1,Oakland,2,7
36,New England,11,13,St. Louis,2,5
35,Baltimore,22,2,New York Giants,8,12
34,St. Louis,4,3,Tennessee,3,20
33,Denver,1,20,Atlanta,10,5
32,Denver,2,8,Green Bay,4,3
31,Green Bay,3,1,New England,14,13